CN;China;Aksu;Aksu,阿克苏市
CN;China;Alashankou;Alashankou,阿拉山口市
CN;China;Altay;Altay,阿勒泰市
CN;China;Anda;Anda,安达市
CN;China;Anguo;Anguo,安国市
CN;China;Ankang;Ankang,安康市
CN;China;Anlu;Anlu,安陆市
CN;China;Anning;Anning,安宁市
CN;China;Anqing;Anqing,安庆市
CN;China;Anqiu;Anqiu,安丘市
CN;China;Anshan;Anshan,鞍山市
CN;China;Anshun;Anshun,安顺市
CN;China;Anyang;Anyang,安阳市
CN;China;Aral;Aral,阿拉尔市
CN;China;Artux;Artux,阿图什市
CN;China;Arxan;Arxan,阿尔山市
CN;China;Baicheng;Baicheng,白城市
CN;China;Baise;Baise,百色市
CN;China;Baishan;Baishan,白山市
CN;China;Baiyin;Baiyin,白银市
CN;China;Baoding;Baoding,保定市
CN;China;Baoji;Baoji,宝鸡市
CN;China;Baoshan;Baoshan,保山市
CN;China;Baotou;Baotou,包头市
CN;China;Barkam;Barkam,马尔康市
CN;China;Bayannur;Bayannur,巴彦淖尔市
CN;China;Bazhong;Bazhong,巴中市
CN;China;Bazhou;Bazhou,霸州市
CN;China;Bei'an;Bei'an,北安市
CN;China;Beihai;Beihai,北海市
CN;China;Beijing;Beijing,北京市
CN;China;Beiliu;Beiliu,北流市
CN;China;Beipiao;Beipiao,北票市
CN;China;Beitun;Beitun,北屯市
CN;China;Beizhen;Beizhen,北镇市
CN;China;Bengbu;Bengbu,蚌埠市
CN;China;Benxi;Benxi,本溪市
CN;China;Bijie;Bijie,毕节市
CN;China;Binzhou;Binzhou,彬州市
CN;China;Binzhou;Binzhou,滨州市
CN;China;Bole;Bole,博乐市
CN;China;Botou;Botou,泊头市
CN;China;Bozhou;Bozhou,亳州市
CN;China;Cangzhou;Cangzhou,沧州市
CN;China;Cenxi;Cenxi,岑溪市
CN;China;Changchun;Changchun,长春市
CN;China;Changde;Changde,常德市
CN;China;Changge;Changge,长葛市
CN;China;Changji;Changji,昌吉市
CN;China;Changning;Changning,常宁市
CN;China;Changsha;Changsha,长沙市
CN;China;Changshu;Changshu,常熟市
CN;China;Changyi;Changyi,昌邑市
CN;China;Changyuan;Changyuan,长垣市
CN;China;Changzhi;Changzhi,长治市
CN;China;Changzhou;Changzhou,常州市
CN;China;Chaohu;Chaohu,巢湖市
CN;China;Chaoyang;Chaoyang,朝阳市
CN;China;Chaozhou;Chaozhou,潮州市
CN;China;Chengde;Chengde,承德市
CN;China;Chengdu;Chengdu,成都市
CN;China;Chengjiang;Chengjiang,澄江市
CN;China;Chenzhou;Chenzhou,郴州市
CN;China;Chibi;Chibi,赤壁市
CN;China;Chifeng;Chifeng,赤峰市
CN;China;Chishui;Chishui,赤水市
CN;China;Chizhou;Chizhou,池州市
CN;China;Chongqing;Chongqing,重庆市
CN;China;Chongzhou;Chongzhou,崇州市
CN;China;Chongzuo;Chongzuo,崇左市
CN;China;Chuxiong;Chuxiong,楚雄市
CN;China;Chuzhou;Chuzhou,滁州市
CN;China;Cixi;Cixi,慈溪市
CN;China;Da'an;Da'an,大安市
CN;China;Dali;Dali,大理市
CN;China;Dalian;Dalian,大连市
CN;China;Dandong;Dandong,丹东市
CN;China;Dangyang;Dangyang,当阳市
CN;China;Danjiangkou;Danjiangkou,丹江口市
CN;China;Danyang;Danyang,丹阳市
CN;China;Danzhou;Danzhou,儋州市
CN;China;Daqing;Daqing,大庆市
CN;China;Dashiqiao;Dashiqiao,大石桥市
CN;China;Datong;Datong,大同市
CN;China;Daye;Daye,大冶市
CN;China;Dazhou;Dazhou,达州市
CN;China;Dehui;Dehui,德惠市
CN;China;Delingha;Delingha,德令哈市
CN;China;Dengfeng;Dengfeng,登封市
CN;China;Dengta;Dengta,灯塔市
CN;China;Dengzhou;Dengzhou,邓州市
CN;China;Dexing;Dexing,德兴市
CN;China;Deyang;Deyang,德阳市
CN;China;Dezhou;Dezhou,德州市
CN;China;Diaobingshan;Diaobingshan,调兵山市
CN;China;Dingxi;Dingxi,定西市
CN;China;Dingzhou;Dingzhou,定州市
CN;China;Dongfang;Dongfang,东方市
CN;China;Donggang;Donggang,东港市
CN;China;Dongguan;Dongguan,东莞市
CN;China;Dongning;Dongning,东宁市
CN;China;Dongtai;Dongtai,东台市
CN;China;Dongxing;Dongxing,东兴市
CN;China;Dongyang;Dongyang,东阳市
CN;China;Dongying;Dongying,东营市
CN;China;Dujiangyan;Dujiangyan,都江堰市
CN;China;Dunhua;Dunhua,敦化市
CN;China;Dunhuang;Dunhuang,敦煌市
CN;China;Duyun;Duyun,都匀市
CN;China;Emeishan;Emeishan,峨眉山市
CN;China;Enping;Enping,恩平市
CN;China;Enshi;Enshi,恩施市
CN;China;Erenhot;Erenhot,二连浩特市
CN;China;Ergun;Ergun,额尔古纳市
CN;China;Ezhou;Ezhou,鄂州市
CN;China;Fangchenggang;Fangchenggang,防城港市
CN;China;Feicheng;Feicheng,肥城市
CN;China;Fengcheng;Fengcheng,丰城市
CN;China;Fengcheng;Fengcheng,凤城市
CN;China;Fengzhen;Fengzhen,丰镇市
CN;China;Fenyang;Fenyang,汾阳市
CN;China;Foshan;Foshan,佛山市
CN;China;Fu'an;Fu'an,福安市
CN;China;Fuding;Fuding,福鼎市
CN;China;Fujin;Fujin,富锦市
CN;China;Fukang;Fukang,阜康市
CN;China;Fuqing;Fuqing,福清市
CN;China;Fuquan;Fuquan,福泉市
CN;China;Fushun;Fushun,抚顺市
CN;China;Fuxin;Fuxin,阜新市
CN;China;Fuyang;Fuyang,阜阳市
CN;China;Fuyu;Fuyu,扶余市
CN;China;Fuyuan;Fuyuan,抚远市
CN;China;Fuzhou;Fuzhou,福州市
CN;China;Fuzhou;Fuzhou,抚州市
CN;China;Gaizhou;Gaizhou,盖州市
CN;China;Ganzhou;Ganzhou,赣州市
CN;China;Gao'an;Gao'an,高安市
CN;China;Gaobeidian;Gaobeidian,高碑店市
CN;China;Gaomi;Gaomi,高密市
CN;China;Gaoping;Gaoping,高平市
CN;China;Gaoyou;Gaoyou,高邮市
CN;China;Gaozhou;Gaozhou,高州市
CN;China;Gejiu;Gejiu,个旧市
CN;China;Genhe;Genhe,根河市
CN;China;Golmud;Golmud,格尔木市
CN;China;Gongqingcheng;Gongqingcheng,共青城市
CN;China;Gongyi;Gongyi,巩义市
CN;China;Gongzhuling;Gongzhuling,公主岭市
CN;China;Guang'an;Guang'an,广安市
